0,13,0,0
3,13,3,2
14,13,14,5
25,13,25,8
30,13,30,8
60,14,0,8
71,14,11,12
82,14,22,15
90,14,30,15
98,14,38,19
109,14,49,24
119,14,59,30
120,15,0,30
129,15,9,36
139,15,19,42
149,15,29,47
150,15,30,47
163,15,43,55
173,15,53,64
180,16,0,64
210,16,30,65
237,16,57,74
237,16,57,74
247,17,7,84
257,17,17,96
267,17,27,108
270,17,30,108
285,17,45,120
295,17,55,133
300,18,0,132
324,18,24,146
330,18,30,146
335,18,35,161
351,18,51,151
360,19,0,135
361,19,1,135
390,19,30,135
411,19,51,126
420,20,0,126
450,20,30,126
480,21,0,126
510,21,30,126
527,21,47,134
537,21,57,149
540,22,0,149
565,22,25,146
570,22,30,146
600,23,0,146
605,23,5,136
630,23,30,136
659,23,59,126
